model,year,price,total_km,hp,box,body,drive,fuel,location
Toyota Passo,2018,549000.0,45000.0,69.0,CVT, хетчбэк, полный, бензин,Приморский край
Great Wall Hover H5,2013,570000.0,53000.0,127.0,MT, внедорожник, полный, бензин,Москва
Nissan Almera,2014,485000.0,164000.0,102.0,MT, седан, передний, бензин,Москва
LADA XRAY,2017,690000.0,58000.0,106.0,MT, хетчбэк, передний, бензин,Удмуртская Республика
Opel Antara,2009,670000.0,145000.0,150.0,AT, внедорожник, полный, дизель,Республика Коми
Opel Antara,2012,994000.0,146000.0,167.0,AT, внедорожник, полный, бензин,Свердловская область
Toyota Corolla,2008,700000.0,192000.0,124.0,AT, седан, передний, бензин,Пермский край
Hyundai Santa Fe,2011,850000.0,178000.0,174.0,MT, внедорожник, полный, бензин,Москва
Infiniti EX35,2008,825000.0,84000.0,295.0,AT, внедорожник, полный, бензин,Краснодарский край
Honda Stepwgn,2001,555000.0,197000.0,160.0,AT, минивэн, передний, бензин,Забайкальский край
Toyota Auris,2008,535000.0,147000.0,97.0,MT, хетчбэк, передний, бензин,Ярославская область
LADA Granta,2016,485000.0,93000.0,87.0,MT, седан, передний, бензин,Саратовская область
Kia Sorento,2003,519000.0,276000.0,140.0,AT, внедорожник, полный, дизель,Санкт-Петербург
Ford Focus,2012,495000.0,108000.0,105.0,MT, седан, передний, бензин,Томская область
ВАЗ (LADA) Granta,2020,788000.0,28391.0,106.0,MT, седан, передний, бензин,Краснодарский край
Datsun on-DO,2020,670000.0,6300.0,87.0,MT, седан, передний, бензин,Брянская область
Renault Sandero,2019,905000.0,86792.0,102.0,AT, хетчбэк, передний, бензин,Калужская область
Honda Elysion,2006,530000.0,148000.0,250.0,AT, минивэн, передний, бензин,Республика Дагестан
Nissan Teana,2012,999000.0,150000.0,182.0,CVT, седан, передний, бензин,Тюменская область
Hyundai Getz,2007,450000.0,90200.0,97.0,AT, хетчбэк, передний, бензин,Республика Крым
SsangYong Kyron,2011,639564.0,164000.0,141.0,MT, внедорожник, полный, дизель,Кировская область
Toyota Aqua,2018,684000.0,40000.0,74.0,CVT, хетчбэк, передний, гибрид,Приморский край
Chevrolet Niva,2016,655000.0,92000.0,80.0,MT, внедорожник, полный, бензин,Севастополь
Skoda Octavia,2013,530000.0,160000.0,122.0,MT, хетчбэк, передний, бензин,Челябинская область
Volkswagen Jetta,2007,469999.0,121908.0,102.0,AT, седан, передний, бензин,Москва
Nissan Juke,2011,847000.0,184261.0,117.0,CVT, внедорожник, передний, бензин,Ставропольский край
Volkswagen Polo,2015,585000.0,135000.0,85.0,MT, седан, передний, бензин,Республика Карелия
ВАЗ (LADA) Vesta,2019,780000.0,36000.0,106.0,MT, седан, передний, бензин,Республика Татарстан
LADA Largus,2015,630000.0,134887.0,105.0,MT, универсал, передний, бензин,Ульяновская область
LADA Granta,2020,700000.0,36000.0,106.0,MT, седан, передний, бензин,Санкт-Петербург
Toyota Camry,2009,830000.0,215000.0,167.0,AT, седан, передний, бензин,Москва
Skoda Superb,2012,969000.0,128000.0,200.0,AMT, хетчбэк, передний, бензин,Москва
Mercedes-Benz S-класс,2006,900000.0,283000.0,235.0,AT, седан, задний, дизель,Тамбовская область
Opel Astra,2008,450000.0,163800.0,115.0,MT, хетчбэк, передний, бензин,Рязанская область
Kia Optima,2011,520000.0,134000.0,200.0,AT, седан, передний, бензин,Ростовская область
Volkswagen Passat,2008,580000.0,195000.0,160.0,AT, седан, передний, бензин,Челябинская область
Opel Astra GTC,2012,480000.0,122000.0,140.0,MT, хетчбэк, передний, бензин,Московская область
LADA Vesta,2018,720000.0,53000.0,106.0,MT, седан, передний, бензин,Вологодская область
Volkswagen Caravelle,2002,640000.0,204000.0,102.0,MT, минивэн, передний, дизель,Санкт-Петербург
Hyundai Solaris,2017,760000.0,89000.0,123.0,MT, седан, передний, бензин,Республика Коми
Renault Sandero Stepway,2012,603000.0,77000.0,84.0,MT, хетчбэк, передний, бензин,Владимирская область
Kia Cerato,2011,709000.0,193456.0,126.0,AT, седан, передний, бензин,Республика Башкортостан
Kia Rio,2015,664210.0,125000.0,107.0,MT, седан, передний, бензин,Чувашская Республика
Nissan Caravan,2010,550000.0,161000.0,105.0,AT, минивэн, полный, дизель,Приморский край
Nissan Juke,2011,657000.0,113000.0,190.0,CVT, внедорожник, полный, бензин,Ростовская область
Kia Sorento,2007,580000.0,200200.0,170.0,MT, внедорожник, полный, дизель,Нижегородская область
Mitsubishi ASX,2013,890000.0,97257.0,117.0,MT, внедорожник, передний, бензин,Республика Марий Эл
Chrysler Crossfire,2004,600000.0,213805.0,215.0,AT, купе, задний, бензин,Свердловская область
LADA Granta,2021,810000.0,27300.0,106.0,MT, седан, передний, бензин,Кабардино-Балкарская Республика
Volkswagen Polo,2011,496000.0,132000.0,105.0,MT, седан, передний, бензин,Вологодская область
LADA Granta,2021,810000.0,27300.0,106.0,MT, седан, передний, бензин,Кабардино-Балкарская Республика
Kia Rio,2015,664210.0,125000.0,107.0,MT, седан, передний, бензин,Чувашская Республика
Mitsubishi ASX,2013,890000.0,97257.0,117.0,MT, внедорожник, передний, бензин,Республика Марий Эл
Chrysler Crossfire,2004,600000.0,213805.0,215.0,AT, купе, задний, бензин,Свердловская область
Volkswagen Polo,2011,496000.0,132000.0,105.0,MT, седан, передний, бензин,Вологодская область
Nissan Note,2006,479000.0,140000.0,110.0,AT, хетчбэк, передний, бензин,Московская область
Skoda Octavia,2011,750000.0,91405.0,102.0,MT, хетчбэк, передний, бензин,Республика Башкортостан
Kia Picanto,2014,550000.0,85000.0,69.0,MT, хетчбэк, передний, бензин,Ленинградская область
Kia Soul,2011,696000.0,104990.0,124.0,AT, хетчбэк, передний, бензин,Республика Татарстан
Ford Focus,2017,870000.0,124149.0,125.0,MT, хетчбэк, передний, бензин,Московская область
LADA Largus,2019,888799.0,29000.0,106.0,MT, универсал, передний, бензин,Республика Дагестан
Skoda Octavia,2014,899000.0,108000.0,180.0,AMT, хетчбэк, передний, бензин,Санкт-Петербург
LIFAN X60,2016,480000.0,112000.0,128.0,MT, внедорожник, передний, бензин,Санкт-Петербург
Toyota Camry,2010,899000.0,158000.0,167.0,AT, седан, передний, бензин,Москва
Peugeot 308,2011,597000.0,120646.0,120.0,AT, хетчбэк, передний, бензин,Москва
Geely Emgrand EC7,2016,540000.0,120000.0,106.0,MT, седан, передний, бензин,Республика Башкортостан
Renault Fluence,2014,670000.0,150000.0,114.0,CVT, седан, передний, бензин,Московская область
